bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1137730,1835335,text,158474,application/pdf,Introduced,https://legiscan.com/ME/text/LD49/id/1835335,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0050&item=1&snum=129
1137730,2035962,text,85036,application/pdf,Amended,https://legiscan.com/ME/text/LD49/id/2035962,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0050&item=2&snum=129
1137730,2041786,text,67401,application/pdf,Amended,https://legiscan.com/ME/text/LD49/id/2041786,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0050&item=4&snum=129
1137730,2044586,text,74484,application/pdf,Chaptered,https://legiscan.com/ME/text/LD49/id/2044586,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0050&item=5&snum=129
1137698,1835305,text,176458,application/pdf,Introduced,https://legiscan.com/ME/text/LD50/id/1835305,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0051&item=1&snum=129
1140665,1838353,text,156072,application/pdf,Introduced,https://legiscan.com/ME/text/LD55/id/1838353,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0052&item=1&snum=129
1140970,1838601,text,167016,application/pdf,Introduced,https://legiscan.com/ME/text/LD56/id/1838601,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0053&item=1&snum=129
1140817,1838477,text,158350,application/pdf,Introduced,https://legiscan.com/ME/text/LD57/id/1838477,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0054&item=1&snum=129
1143975,1841608,text,176930,application/pdf,Introduced,https://legiscan.com/ME/text/LD58/id/1841608,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0055&item=1&snum=129
1144128,1841759,text,169674,application/pdf,Introduced,https://legiscan.com/ME/text/LD59/id/1841759,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0056&item=1&snum=129
1144128,1963497,text,74949,application/pdf,Amended,https://legiscan.com/ME/text/LD59/id/1963497,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0056&item=2&snum=129
1144128,1986116,text,70931,application/pdf,Chaptered,https://legiscan.com/ME/text/LD59/id/1986116,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0056&item=3&snum=129
1143718,1841354,text,155267,application/pdf,Introduced,https://legiscan.com/ME/text/LD60/id/1841354,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0057&item=1&snum=129
1143819,1841456,text,146697,application/pdf,Introduced,https://legiscan.com/ME/text/LD61/id/1841456,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0058&item=1&snum=129
1143563,1841199,text,153576,application/pdf,Introduced,https://legiscan.com/ME/text/LD62/id/1841199,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0059&item=1&snum=129
1143563,1998346,text,70617,application/pdf,Chaptered,https://legiscan.com/ME/text/LD62/id/1998346,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0059&item=4&snum=129
1143768,1841404,text,147030,application/pdf,Introduced,https://legiscan.com/ME/text/LD63/id/1841404,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0060&item=1&snum=129
1143513,1841150,text,160058,application/pdf,Introduced,https://legiscan.com/ME/text/LD64/id/1841150,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0061&item=1&snum=129
1143513,2002355,text,81207,application/pdf,Amended,https://legiscan.com/ME/text/LD64/id/2002355,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0061&item=2&snum=129
1143513,2018104,text,74460,application/pdf,Chaptered,https://legiscan.com/ME/text/LD64/id/2018104,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0061&item=3&snum=129
1143463,1841099,text,171318,application/pdf,Introduced,https://legiscan.com/ME/text/LD65/id/1841099,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0062&item=1&snum=129
1145788,1843613,text,171952,application/pdf,Introduced,https://legiscan.com/ME/text/LD77/id/1843613,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0063&item=1&snum=129
1145708,1843530,text,165223,application/pdf,Introduced,https://legiscan.com/ME/text/LD78/id/1843530,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0064&item=1&snum=129
1145708,2006484,text,69180,application/pdf,Amended,https://legiscan.com/ME/text/LD78/id/2006484,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0064&item=2&snum=129
1145708,2042433,text,73400,application/pdf,Chaptered,https://legiscan.com/ME/text/LD78/id/2042433,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0064&item=3&snum=129
1146334,1844158,text,154825,application/pdf,Introduced,https://legiscan.com/ME/text/LD79/id/1844158,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0065&item=1&snum=129
1146334,1978805,text,70063,application/pdf,Chaptered,https://legiscan.com/ME/text/LD79/id/1978805,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0065&item=3&snum=129
1145242,1843062,text,176632,application/pdf,Introduced,https://legiscan.com/ME/text/LD80/id/1843062,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0066&item=1&snum=129
1146434,1844251,text,155645,application/pdf,Introduced,https://legiscan.com/ME/text/LD81/id/1844251,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0067&item=1&snum=129
1146434,1978361,text,69197,application/pdf,Chaptered,https://legiscan.com/ME/text/LD81/id/1978361,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0067&item=3&snum=129
1146713,1844514,text,150990,application/pdf,Introduced,https://legiscan.com/ME/text/LD82/id/1844514,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0068&item=1&snum=129
1146179,1844005,text,154176,application/pdf,Introduced,https://legiscan.com/ME/text/LD83/id/1844005,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0069&item=1&snum=129
1146944,1844744,text,164460,application/pdf,Introduced,https://legiscan.com/ME/text/LD84/id/1844744,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0070&item=1&snum=129
1146944,2005976,text,80069,application/pdf,Amended,https://legiscan.com/ME/text/LD84/id/2005976,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0070&item=2&snum=129
1146944,2041337,text,76724,application/pdf,Amended,https://legiscan.com/ME/text/LD84/id/2041337,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0070&item=4&snum=129
1146944,2044513,text,76970,application/pdf,Chaptered,https://legiscan.com/ME/text/LD84/id/2044513,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0070&item=5&snum=129
1146637,1844436,text,159405,application/pdf,Introduced,https://legiscan.com/ME/text/LD85/id/1844436,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0071&item=1&snum=129
1146637,1990402,text,74913,application/pdf,Amended,https://legiscan.com/ME/text/LD85/id/1990402,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0071&item=2&snum=129
1145551,1843372,text,168110,application/pdf,Introduced,https://legiscan.com/ME/text/LD86/id/1843372,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0072&item=1&snum=129
1145551,1978191,text,75661,application/pdf,Chaptered,https://legiscan.com/ME/text/LD86/id/1978191,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0072&item=3&snum=129
1146545,1844349,text,158747,application/pdf,Introduced,https://legiscan.com/ME/text/LD87/id/1844349,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0073&item=1&snum=129
1145169,1842987,text,155715,application/pdf,Introduced,https://legiscan.com/ME/text/LD88/id/1842987,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0074&item=1&snum=129
1145632,1843454,text,165691,application/pdf,Introduced,https://legiscan.com/ME/text/LD89/id/1843454,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0075&item=1&snum=129
1147090,1844890,text,150879,application/pdf,Introduced,https://legiscan.com/ME/text/LD90/id/1844890,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0076&item=1&snum=129
1147090,1976453,text,72324,application/pdf,Amended,https://legiscan.com/ME/text/LD90/id/1976453,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0076&item=2&snum=129
1147090,1991172,text,70246,application/pdf,Chaptered,https://legiscan.com/ME/text/LD90/id/1991172,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0076&item=3&snum=129
1145867,1843694,text,165508,application/pdf,Introduced,https://legiscan.com/ME/text/LD91/id/1843694,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0077&item=1&snum=129
1145867,1959387,text,65499,application/pdf,Amended,https://legiscan.com/ME/text/LD91/id/1959387,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0077&item=3&snum=129
1145867,1980684,text,71195,application/pdf,Chaptered,https://legiscan.com/ME/text/LD91/id/1980684,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0077&item=4&snum=129
1145944,1843771,text,166348,application/pdf,Introduced,https://legiscan.com/ME/text/LD92/id/1843771,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0078&item=1&snum=129
1145944,1967860,text,78094,application/pdf,Amended,https://legiscan.com/ME/text/LD92/id/1967860,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0078&item=2&snum=129
1145944,1992099,text,80133,application/pdf,Chaptered,https://legiscan.com/ME/text/LD92/id/1992099,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0078&item=4&snum=129
1145318,1843139,text,166656,application/pdf,Introduced,https://legiscan.com/ME/text/LD93/id/1843139,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0079&item=1&snum=129
1145398,1843219,text,151634,application/pdf,Introduced,https://legiscan.com/ME/text/LD94/id/1843219,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0080&item=1&snum=129
1146255,1844079,text,161279,application/pdf,Introduced,https://legiscan.com/ME/text/LD95/id/1844079,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0081&item=1&snum=129
1146019,1843844,text,156914,application/pdf,Introduced,https://legiscan.com/ME/text/LD96/id/1843844,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0082&item=1&snum=129
1146019,2030344,text,77395,application/pdf,Amended,https://legiscan.com/ME/text/LD96/id/2030344,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0082&item=2&snum=129
1146019,2035830,text,70281,application/pdf,Chaptered,https://legiscan.com/ME/text/LD96/id/2035830,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0082&item=3&snum=129
1147973,1845781,text,158366,application/pdf,Introduced,https://legiscan.com/ME/text/LD97/id/1845781,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0083&item=1&snum=129
