bill_id,people_id,position
897993,14720,7
897993,15045,1
897993,15047,9
897993,16786,10
898061,8743,2
898061,8839,6
898061,10363,8
898061,10381,1
898061,16637,9
898061,16697,7
898061,16780,4
898061,17106,3
898061,17334,5
898061,18204,10
898996,10331,6
898996,11890,7
898996,14742,1
898996,16689,4
898996,16781,2
898996,17108,9
898996,17934,5
898996,18178,3
898996,18209,8
900012,8757,2
900012,8839,5
900012,8898,3
900012,10335,1
900012,10341,4
900012,10351,7
900012,15404,6
900012,18206,8
900012,18208,9
900034,10352,2
900034,10366,8
900034,12720,1
900034,13876,10
900034,15404,4
900034,15747,6
900034,16786,9
900034,16853,3
900034,16877,5
900034,18196,7
900055,10325,2
900055,15047,3
900055,18212,1
900079,10352,2
900079,10366,8
900079,12720,1
900079,13876,10
900079,15747,6
900079,16786,9
900079,16853,3
900079,16877,5
900079,17335,4
900079,18196,7
900101,16614,2
900101,16780,1
900101,17215,5
900101,17270,3
900101,17506,7
900101,17789,6
900101,18187,4
900143,8879,8
900143,10366,7
900143,12720,1
900143,13876,10
900143,15391,5
900143,15729,6
900143,16689,2
900143,16786,9
900143,16853,3
900143,17335,4
900170,8839,4
900170,10341,3
900170,10353,5
900170,10370,1
900170,17333,2
900191,8856,2
900191,10351,1
900213,10353,6
900213,10370,1
900213,14719,4
900213,16614,2
900213,16633,3
900213,17335,5
900235,8814,2
900235,8909,3
900235,10335,1
900235,10338,4
900259,10353,1
900259,10370,6
900259,16614,2
900259,16633,3
900259,16853,4
900259,17531,5
900280,8800,1
900280,8839,6
900280,10339,4
900280,10366,7
900280,11874,2
900280,17217,8
900280,17270,3
900280,17788,5
900280,18206,9
900301,8800,1
900301,8839,4
900301,11874,2
900301,17217,6
900301,17788,3
900301,17789,5
900301,18206,7
900323,8743,2
900323,16697,1
900341,8815,2
900341,8839,7
900341,10363,1
900341,11874,3
900341,16689,4
900341,16782,5
900341,16785,9
900341,17788,6
900341,17789,8
901406,8757,3
901406,10331,4
901406,10339,6
901406,10341,1
901406,10351,7
901406,10352,2
901406,11890,5
901406,15045,8
901406,16786,10
901406,17585,9
901525,8815,3
901525,10333,2
901525,10367,6
901525,12720,9
901525,13876,1
901525,16637,7
901525,16780,4
901525,16853,5
