bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
983358,740227,2018-04-18,House,"Recede And Concur RC #628",72,76,0,3,151
983358,740228,2018-04-18,Senate,"Accept Rpt ""c"" Otp-a RC #653",18,17,0,0,35
983358,766685,2018-06-21,House,"Recede And Concur RC #684",80,55,0,16,151
983358,766686,2018-06-21,Senate,"Recede RC #692",20,10,0,5,35
983358,766687,2018-06-21,Senate,"Accept Rpt 'a' Otp-a RC #693",19,11,0,5,35
983358,768044,2018-06-26,Senate,"Enactment RC #702",19,12,0,4,35
983358,769823,2018-07-09,House,"Reconsideration - Veto RC #724",79,61,0,11,151
983582,635427,2017-04-27,House,"Reconsider RC #56",77,65,0,9,151
983582,635428,2017-04-27,House,"Acc Maj Ought Not To Pass Rep RC #57",75,67,0,9,151
983724,645174,2017-05-16,Senate,"Accept Min Ontp Rpt RC #133",17,18,0,0,35
983724,673418,2017-08-02,House,"Reconsideration - Veto RC #451",73,64,0,14,151
983805,660550,2017-06-06,House,"Reconsideration - Veto RC #240",142,3,0,6,151
983805,660551,2017-06-07,Senate,"Reconsideration - Veto RC #241",35,0,0,0,35
984049,670567,2017-06-30,House,"Reconsideration - Veto RC #418",131,15,0,5,151
984049,672964,2017-07-20,Senate,"Veto Override (2/3) RC #403",16,15,0,4,35
985442,649025,2017-05-24,House,"Acc Maj Otp As Amended Rep RC #160",72,71,0,8,151
985442,660556,2017-06-06,Senate,"Accept Min Ontp Rpt RC #228",30,5,0,0,35
985493,764741,2018-06-19,House,"Indef Pp Hah-792 To Cah-791 RC #666",87,54,0,10,151
985493,764742,2018-06-19,House,"Indef Pp Hbh-793 To Cah-791 RC #667",82,59,0,10,151
985493,764743,2018-06-19,House,"Enactment - Emer RC #673",126,6,0,19,151
985493,765895,2018-06-20,Senate,"Enact-emer 2/3 Elect RC #678",32,0,0,3,35
985493,769866,2018-07-09,House,"Reconsideration - Veto RC #702",139,4,0,8,151
985493,769867,2018-07-09,Senate,"Reconsideration - Veto RC #722",32,1,0,2,35
985552,673390,2017-08-02,Senate,"Reconsideration - Veto RC #418",27,7,0,1,35
985552,673415,2017-08-02,House,"Reconsideration - Veto RC #457",82,55,0,14,151
985590,654253,2017-05-30,House,"Acc Maj Otp As Amended Rep RC #167",85,54,0,12,151
985590,667248,2017-06-19,House,"Reconsideration - Veto RC #336",84,61,0,6,151
985655,638584,2017-05-04,House,"Acc Maj Ought To Pass Rep RC #73",83,59,0,9,151
985655,644115,2017-05-11,Senate,"Accept Min Ontp Rpt RC #129",10,22,0,3,35
985655,660189,2017-06-05,House,"Reconsideration - Veto RC #232",80,63,0,8,151
985666,673410,2017-08-02,Senate,"Reconsideration - Veto RC #419",30,4,0,1,35
985666,673411,2017-08-02,House,"Reconsideration - Veto RC #458",114,23,0,14,151
985764,766863,2018-06-21,House,"Recede And Concur RC #680",133,0,0,18,151
985764,769870,2018-07-09,House,"Reconsideration - Veto RC #701",143,0,0,8,151
985764,769871,2018-07-09,Senate,"Reconsideration - Veto RC #721",32,0,0,3,35
985785,668601,2017-06-22,Senate,"Adopt Sbs-305 RC #371",17,18,0,0,35
985785,669053,2017-06-27,House,"Enactment RC #408",73,70,0,8,151
